"The impacts of accessibility measure choice on public transit project evaluation: A comparative study of cumulative, gravity-based, and hybrid approaches",JOURNAL OF TRANSPORT GEOGRAPHY
Digital traces: Mapping Bogota's unmapped transit network using smartphones and networked databases,ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE
Impact of travel time uncertainties on modeling of spatial accessibility: a comparison of street data sources,CARTOGRAPHY AND GEOGRAPHIC INFORMATION SCIENCE
TCE-IDS: Time Interval Conditional Entropy- Based Intrusion Detection System for Automotive Controller Area Networks,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
Programmable Logic Controllers Past Linear Temporal Logic for Monitoring Applications in Industrial Control Systems,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
The impact of built environments on pedestrian safety around bus stops,JOURNAL OF URBAN AFFAIRS
"The factors in residents' mobility in rural towns of China: Car ownership, road infrastructure and public transport services",JOURNAL OF TRANSPORT GEOGRAPHY
A Scalable FMI-Compatible Cosimulation Platform for Synchrophasor Network Studies,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
Hybrid Data-Driven and Model-Based Distribution Network Reconfiguration With Lossless Model Reduction,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
A Graph Theory-Based Approach to Detect False Data Injection Attacks in Power System AC State Estimation,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
The impacts of the modifiable areal unit problem (MAUP) on social equity analysis of public transit reliability,JOURNAL OF TRANSPORT GEOGRAPHY
A Coordinated Restoration Method of Hybrid AC-DC Distribution Network With Electric Buses Considering Transportation System Influence,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
Strategic Participation of Integrated Thermal and Electrical Energy Service Provider in Natural Gas and Wholesale Electricity Markets,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
Using weighted multilayer networks to uncover scaling of public transport system,ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE
A Fault Location Identification Technique for Active Distribution System,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
Investigation of modal integration of bike-sharing and public transit in Seoul for the holders of 365-day passes,JOURNAL OF TRANSPORT GEOGRAPHY
Examining the causal relationship between bike-share and public transit in response to the COVID-19 pandemic,CITIES
"Governance arrangements shaping driverless shuttles in public transport: The case of Barkarbystaden, Stockholm",CITIES
"Acceptable walking distance to transit stations in Bangkok, Thailand: Application of a stated preference technique",JOURNAL OF TRANSPORT GEOGRAPHY
Three-Stage Robust Unit Commitment Considering Decreasing Uncertainty in Wind Power Forecasting,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
"A divided schooling system: the spatial nature of secondary education in Ladybrand, Free State, South Africa",SOUTH AFRICAN GEOGRAPHICAL JOURNAL
Optimal Steady-State Voltage Control Using Gaussian Process Learning,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
An Enhanced Contingency-Based Model for Joint Energy and Reserve Markets Operation by Considering Wind and Energy Storage Systems,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
A Multiagent Competitive Bidding Strategy in a Pool-Based Electricity Market With Price-Maker Participants of WPPs and EV Aggregators,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
Deep weakly-supervised breast tumor segmentation in ultrasound images with explicit anatomical constraints,MEDICAL IMAGE ANALYSIS
Smart Meter Based Two-Layer Distribution System State Estimation in Unbalanced MV/LV Networks,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
"Understanding individual-level travel behavior changes due to COVID-19: Trip frequency, trip regularity, and trip distance",CITIES
Identifying Security Vulnerabilities in Electricity Market Operations Induced by Weakly Detectable Network Parameter Errors,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
Uncertainty-Informed Operation Coordination in a Water-Energy Nexus,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS
"Understanding how individuals perceive changes in the built environment and the transport system after implementing a BRT system. The case of Barranquilla, Colombia",JOURNAL OF TRANSPORT GEOGRAPHY
